candidate_id,language,category,source_family,title,source_url,desired_excerpt_count,min_excerpt_seconds,max_excerpt_seconds,preferred_modes,level_hint,caption_check,embed_check,content_suitability_review,production_rights_review,notes
en-kfp-001,en,movie,Movieclips,Po dreams of being the Legendary Warrior,https://www.youtube.com/watch?v=STqJ_Up4iFg,1-2,15,90,listen|dictation|shadowing,,verified_en_track,pending_importer,pending_human,not_for_dev_gate,Kung Fu Panda (2008) 1/10. Channel verified via oEmbed: Movieclips. EN caption track present. Dialogue-led scene.
en-kfp-002,en,movie,Movieclips,The Dragon Warrior trials,https://www.youtube.com/watch?v=ihKHvNOTcwk,1-2,15,90,listen|dictation|shadowing,,verified_en_track,pending_importer,pending_human,not_for_dev_gate,Kung Fu Panda (2008) 2/10. Channel verified via oEmbed: Movieclips. EN caption track present.
en-kfp-003,en,movie,Movieclips,Shifu finally trains Po,https://www.youtube.com/watch?v=zvY-EPgYB4Y,1-2,15,90,listen|dictation|shadowing,,verified_en_track,pending_importer,pending_human,not_for_dev_gate,Kung Fu Panda (2008) 6/10. Channel verified via oEmbed: Movieclips. Two-speaker exchange.
en-kfp-004,en,movie,Movieclips,Our battle will be legendary,https://www.youtube.com/watch?v=Jy2_J5WCzDY,1-2,15,90,listen|dictation|shadowing,,verified_en_track,pending_importer,pending_human,not_for_dev_gate,Kung Fu Panda (2008) 7/10. Channel verified via oEmbed: Movieclips. Memorable quoted line in real spoken context.
en-kfp-005,en,movie,Movieclips,Fight for the Dragon Scroll,https://www.youtube.com/watch?v=AhbCYVILusc,1-2,15,90,listen|shadowing,,verified_en_track,pending_importer,pending_human,not_for_dev_gate,Kung Fu Panda (2008) 9/10. Channel verified via oEmbed: Movieclips. Action-heavy - importer may find little speech; that is a legitimate SKIP.
en-kfp-006,en,movie,Fandango MovieClips,The origin of young Tai Lung,https://www.youtube.com/watch?v=5U5WZc6whHw,1-2,15,90,listen|dictation|shadowing,,verified_en_track,pending_importer,pending_human,not_for_dev_gate,Kung Fu Panda (2008). Channel verified via oEmbed: Fandango MovieClips. Narrated backstory - reflective register.
en-kfp-007,en,movie,Movieclips,Opening battle,https://www.youtube.com/watch?v=hTpVCu5DzpA,1-2,15,90,listen|shadowing,,verified_en_track,pending_importer,pending_human,not_for_dev_gate,Kung Fu Panda 2 (2011) 1/10. Channel verified via oEmbed: Movieclips. Action-heavy - may SKIP on speech density.
en-kfp-008,en,movie,Movieclips,The new master,https://www.youtube.com/watch?v=DVQQY4-us8k,1-2,15,90,listen|dictation|shadowing,,verified_en_track,pending_importer,pending_human,not_for_dev_gate,Kung Fu Panda 3 (2016) 1/10. Channel verified via oEmbed: Movieclips. Dialogue-led.
en-kfp-009,en,movie,Movieclips,Double dad defense,https://www.youtube.com/watch?v=rhnCmErsnYA,1-2,15,90,listen|dictation|shadowing,,verified_en_track,pending_importer,pending_human,not_for_dev_gate,Kung Fu Panda 3 (2016) 7/10. Channel verified via oEmbed: Movieclips. Comedic multi-speaker exchange.
en-kfp-010,en,movie,Rotten Tomatoes Coming Soon,Mei Mei introduces herself,https://www.youtube.com/watch?v=j6syhqLuLYc,1-2,15,90,listen|dictation|shadowing,,verified_en_track,pending_importer,pending_human,not_for_dev_gate,Kung Fu Panda 3 (2016) clip. Channel verified via oEmbed: Rotten Tomatoes Coming Soon (Fandango). Character comedy.
en-kfp-011,en,movie,IGN Movie Trailers,Po and Shifu official clip,https://www.youtube.com/watch?v=xnxIFMxB4Hg,1-2,15,90,listen|dictation|shadowing,,verified_en_track,pending_importer,pending_human,not_for_dev_gate,Kung Fu Panda 4 (2024) official clip. Channel verified via oEmbed: IGN Movie Trailers. Press-distributed official clip.
